density,triangleSize,transparency,pathAngle,peakA,coherence
1,10,1,20,0.3,1
1,10,0.8,-18,0.3,1
1,10,0.6,16,0.3,1
1,10,0.4,-14,0.3,1
1,10,0.2,12,0.3,1
1,10,0,-10,0.3,1
5,5,1,8,0.3,1
5,5,0.8,-6,0.3,1
5,5,0.6,4,0.3,1
5,5,0.4,-2,0.3,1
5,5,0.2,0,0.3,1
5,5,0,2,0.3,1
10,1,1,-4,0.3,1
10,1,0.8,6,0.3,1
10,1,0.6,-8,0.3,1
10,1,0.4,10,0.3,1
10,1,0.2,-12,0.3,1
10,1,0,14,0.3,1
